Mel_Features,Ragas
[-40.53969  -35.373924 -36.961845 ... -80.       -80.       -72.51593 ],Bhoopali
[-37.88376  -37.509064 -36.515354 ... -80.       -80.       -80.      ],Bhoopali
[-37.88376  -37.509064 -36.515354 ... -80.       -80.       -80.      ],Bhoopali
[-45.41852  -47.483025 -51.15259  ... -80.       -80.       -80.      ],Bhoopali
[-31.398039 -33.15508  -33.276474 ... -46.96694  -46.856186 -46.410324],Bhoopali
[-34.65348  -32.910328 -34.362907 ... -69.333565 -73.15528  -64.30817 ],Bhoopali
[-36.488075 -32.278336 -29.208385 ... -80.       -80.       -73.47529 ],Bhoopali
[-30.028692 -26.081654 -30.40762  ... -74.01904  -71.325195 -74.09752 ],Bhoopali
[-36.37847  -28.175045 -25.108294 ... -80.       -80.       -78.7686  ],Bhoopali
[-47.207336 -46.67727  -42.30136  ... -80.       -80.       -80.      ],Bhoopali
[-50.656193 -56.012184 -58.25054  ... -80.       -74.11597  -63.205917],Bhoopali
[-37.39913  -38.01552  -39.715385 ... -80.       -80.       -80.      ],Bhoopali
[-47.847057 -50.547977 -53.120705 ... -80.       -80.       -66.53604 ],Bhoopali
[-43.686054 -42.027138 -42.390503 ... -80.       -80.       -79.95724 ],Bhoopali
[-46.34393  -45.542404 -42.3947   ... -80.       -80.       -80.      ],Bhoopali
[-40.614918 -35.74175  -37.745983 ... -80.       -80.       -80.      ],Darbari
[-40.633118 -36.025284 -38.932724 ... -80.       -80.       -80.      ],Darbari
[-39.704494 -36.265118 -36.50714  ... -80.       -80.       -80.      ],Darbari
[-39.119404 -33.754944 -37.935825 ... -80.       -80.       -80.      ],Darbari
[-36.098396 -36.17122  -38.59212  ... -80.       -80.       -80.      ],Darbari
[-51.625393 -48.849052 -46.430676 ... -80.       -80.       -77.37265 ],Darbari
[-56.399918 -57.69558  -53.401684 ... -80.       -80.       -73.51747 ],Darbari
[-42.971306 -45.287086 -44.122486 ... -80.       -80.       -80.      ],Darbari
[-43.676243 -45.523148 -45.646378 ... -80.       -80.       -72.967834],Darbari
[-40.782024 -40.603348 -35.463318 ... -80.       -80.       -80.      ],Darbari
[-80.     -80.     -80.     ... -80.     -80.     -72.6357],Malkauns
[-80.       -80.       -80.       ... -80.       -80.       -60.595413],Malkauns
[-80.       -80.       -80.       ... -80.       -80.       -59.827507],Malkauns
[-80. -80. -80. ... -80. -80. -80.],Malkauns
[-80.      -80.      -80.      ... -80.      -80.      -59.26901],Malkauns
[-38.26432  -34.679665 -37.74742  ... -80.       -80.       -70.9176  ],Malkauns
[-43.502613 -36.595222 -36.13109  ... -78.28949  -80.       -80.      ],Malkauns
[-35.49017  -35.756348 -36.275543 ... -80.       -80.       -80.      ],Malkauns
[-39.75787  -38.640793 -41.351692 ... -80.       -80.       -80.      ],Malkauns
[-25.750454 -29.173283 -32.113697 ... -78.18652  -78.802185 -80.      ],Malkauns
[-80.      -80.      -80.      ... -80.      -80.      -74.97357],Sarang
[-80.       -80.       -80.       ... -80.       -80.       -71.032196],Sarang
[-80.     -80.     -80.     ... -80.     -80.     -67.3358],Sarang
[-80.       -80.       -80.       ... -80.       -80.       -65.615135],Sarang
[-80.      -80.      -80.      ... -76.52214 -74.03369 -66.61045],Sarang
[-49.41838  -37.80292  -38.321217 ... -80.       -80.       -80.      ],Sarang
[-35.143208 -35.071182 -34.571014 ... -80.       -80.       -80.      ],Sarang
[-43.552338 -36.818672 -34.971508 ... -80.       -80.       -80.      ],Sarang
[-33.71796  -35.072113 -39.58827  ... -80.       -80.       -76.2571  ],Sarang
[-41.504406 -38.53667  -34.9755   ... -80.       -80.       -80.      ],Sarang
[-31.450373 -29.38607  -29.597992 ... -80.       -79.92199  -70.20713 ],Yaman
[-43.990486 -44.72291  -46.85878  ... -80.       -80.       -80.      ],Yaman
[-46.43363  -49.613754 -51.734913 ... -80.       -80.       -73.40457 ],Yaman
[-43.222206 -42.59115  -38.316944 ... -80.       -80.       -62.204067],Yaman
[-46.319702 -38.930965 -37.103123 ... -80.       -80.       -79.62983 ],Yaman
[-53.87998  -42.37406  -39.784027 ... -80.       -80.       -80.      ],Yaman
[-30.975155 -37.005928 -78.45018  ... -80.       -80.       -74.68597 ],Yaman
[-40.840286 -46.73935  -69.21423  ... -80.       -80.       -80.      ],Yaman
[-34.297558 -40.415176 -73.41309  ... -80.       -73.47897  -59.58249 ],Yaman
[-52.438152 -57.758286 -65.05817  ... -80.       -73.96661  -66.38985 ],Yaman
[-80. -80. -80. ... -80. -80. -80.],Yaman
[-45.853195 -45.50571  -50.901615 ... -80.       -80.       -80.      ],Yaman
[-80.       -80.       -80.       ... -80.       -80.       -71.453285],Yaman
[-80.       -80.       -80.       ... -80.       -80.       -78.150314],Yaman
[-80.       -80.       -80.       ... -80.       -80.       -69.651634],Yaman
[-80. -80. -80. ... -80. -80. -80.],Yaman
[-80.      -80.      -80.      ... -78.71668 -80.      -80.     ],Yaman
[-60.87391 -51.71799 -48.13758 ... -80.      -80.      -80.     ],Yaman
[-57.228973 -47.205345 -48.962997 ... -80.       -80.       -67.033585],Yaman
[-52.110703 -42.791527 -45.713993 ... -80.       -80.       -68.0593  ],Yaman
[-46.950924 -44.458363 -51.419315 ... -80.       -80.       -80.      ],Yaman
[-41.521378 -42.501755 -53.997715 ... -80.       -80.       -73.76816 ],Yaman
[-33.586063 -39.68038  -51.800938 ... -80.       -80.       -80.      ],Yaman
[-48.670403 -45.641365 -50.841373 ... -80.       -80.       -74.12288 ],Yaman
[-48.227646 -44.469948 -48.820942 ... -80.       -80.       -80.      ],Yaman
[-36.775578 -36.575047 -47.173943 ... -80.       -80.       -75.5114  ],Yaman
[-43.26255  -45.436176 -52.148323 ... -80.       -80.       -80.      ],Yaman
[-42.463413 -39.058113 -46.51997  ... -80.       -80.       -80.      ],Yaman
[-80. -80. -80. ... -80. -80. -80.],Yaman
[-44.629814 -38.473377 -43.78395  ... -80.       -80.       -80.      ],Yaman
[-74.775116 -50.92895  -48.46231  ... -80.       -80.       -78.915665],Yaman
[-38.758015 -31.806683 -28.902275 ... -77.744545 -79.56845  -64.1704  ],Yaman
[-29.112194 -24.252813 -26.25171  ... -76.45372  -76.378075 -76.69296 ],Yaman
[-31.654984 -31.256954 -30.144274 ... -78.588745 -79.12111  -69.07376 ],Yaman
[-37.33356  -35.13414  -39.616486 ... -79.36914  -78.50017  -59.99919 ],Yaman
[-35.35325  -30.435099 -33.542168 ... -76.696465 -76.575935 -73.691795],Yaman
[-49.26188  -46.719765 -49.773705 ... -80.       -80.       -68.67815 ],Yaman
[-65.96637  -60.171127 -60.23934  ... -80.       -80.       -80.      ],Yaman
[-65.30445  -52.37986  -49.295868 ... -80.       -80.       -54.23345 ],Yaman
[-45.88783  -50.827065 -60.971672 ... -80.       -80.       -80.      ],Yaman
[-51.04173  -47.406418 -49.79087  ... -80.       -80.       -78.12441 ],Yaman
[-45.815086 -41.71373  -43.833736 ... -80.       -80.       -72.49043 ],Yaman
